id,titulo,url,url_poster,fecha_estreno,sinopsis,usuario,genero
Dune2,Dune 2,https://www.imdb.com/title/tt15239678/?ref_=nv_sr_srsg_3_tt_8_nm_0_q_dune,https://m.media-amazon.com/images/M/MV5BYTU1YzdjZTgtNjBlZS00NjUwLTllNGQtNzU2N2ZhY2QzNDRhXkEyXkFqcGdeQXVyMTQ1Njk1OTUw._V1_FMjpg_UX1000_.jpg,2024/02/29,"El duque Paul Atreides se une a los Fremen y comienza su entrenamiento para convertirse en Muad'Dib, mientras trata de evitar el terrible futuro que ha previsto: una guerra santa en su nombre, esparciéndose por todo el universo conocido.",fd_x,Ciencia Ficción
parasite,Parasite,https://www.imdb.com/title/tt6751668/?ref_=hm_tpks_tt_t_26_pd_tp1_pbr_ic,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,2019/10/18,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,dani,"Drama, suspenso"
BackToTheFuture,Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=nv_sr_srsg_3_tt_4_nm_4_q_back%2520,https://m.media-amazon.com/images/M/MV5BYjQxMTIyMWUtMmMyMS00MGNmLTkzNzktOTM2YzMyZmRjYTYzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1985/12/25,"Marty McFly, un estudiante de secundaria de 17 años, es enviado accidentalmente treinta años al pasado en un DeLorean que viaja en el tiempo, inventado por su gran amigo, el excéntrico científico Doc Brown.",Jorge,"Ciencia Ficción, Comedia y Aventura"
Cinderella,Cenicienta,https://www.imdb.com/title/tt10155932/?ref_=nv_sr_srsg_3_tt_8_nm_0_q_cenicien,https://m.media-amazon.com/images/M/MV5BZmQ1NjIwOGEtNDNhZC00YjI5LWI2MTMtMjBmZTliMTE5Mzk4XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg,2021/09/03,"""Un musical cinematográfico moderno con una visión audaz del clásico cuento de hadas. Nuestra ambiciosa heroína tiene grandes sueños y, con la ayuda de su fabulosa madrina, persevera para hacerlos realidad.",Julio,"Comedia, Familiar, Fantasia"
Oppenheimer,Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=nv_sr_srsg_0_tt_5_nm_3_q_opp,https://m.media-amazon.com/images/M/MV5BMjVhNGYyMTktNWU0Yi00YjQwLWJmYTQtNDJmODliOTE0NmY5XkEyXkFqcGdeQXVyMTQ4NTgxNzYx._V1_FMjpg_UX1000_.jpg,2023/07/21,La historia del científico estadounidense J. Robert Oppenheimer y su papel en el desarrollo de la bomba atómica.,Gael,"Drama, Historia, Biografic"
OrgulloYPrejuicio,Orgullo y prejuicio,https://www.imdb.com/title/tt0414387/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_Prid,https://m.media-amazon.com/images/M/MV5BYjY2ZTRiZTUtNjgyYS00MjI2LWE5MzgtM2RmODdjNDY5NzhmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,2005/06/26,"""Cuando la animada Elizabeth Bennet se encuentra con el soltero, rico y orgulloso Sr. Darcy, las chispas del amor florecerán, pero ambos deberán superar su propio orgullo y prejuicio.""",Adriana,"Drama, romance"
GranTurismo,Gran Turismo,https://www.imdb.com/title/tt4495098/?ref_=tt_mv_close,https://m.media-amazon.com/images/M/MV5BMmQ3ZTViYTEtZDUwZS00NjQyLWJmODctN2JhOGVmNTQ5N2ZiXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_FMjpg_UX1000_.jpg,2023/08/25,"Basada en la increíble historia real de un equipo de marginados -un jugador de clase trabajadora, un expiloto de carreras fracasado y un ejecutivo idealista- que lo arriesgan todo para enfrentarse al deporte más elitista del mundo.",ElChicoPercebe,"Acción, Aventura, Drama"
Hasta el ultimo hombre,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_Hasta%2520el%2520ultimo%2520hombre,https://m.media-amazon.com/images/M/MV5BMWE2NWQ5MzItMjg5Yy00MmMyLTliODgtNWYwYzA4NGQ3MDBmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,2016/10/16,"El médico del ejército Desmond T. Doss, que sirvió durante la batalla de Okinawa, se niega a matar y se convierte en el primer hombre de la historia de Estados Unidos que recibe la Medalla de Honor sin disparar un tiro.",Sergio,"Biografia, Drama, Historia y Belico"
Inception,Inception,https://www.imdb.com/title/tt1375666/?ref_=nv_sr_srsg_0_tt_3_nm_5_q_ince,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_FMjpg_UX1000_.jpg,2010/07/23,"A un ladrón que roba secretos corporativos a través de la tecnología de entrar en el subconsciente, se le da la tarea de implantar una idea en la mente del jefe de una gran empresa.",sagd_11,"Acción, aventura, ciencia ficción, suspenso"
transformers3,Transformers: dark of the moon,https://www.imdb.com/title/tt1399103/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_transformers%25203,https://m.media-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_FMjpg_UX1000_.jpg,2011/06/29,"In final days of the Cybertron war, The Ark spacecraft escapes. Piloted by Autobot leader Sentinel Prime, the ship contained technology to defeat Decepticons & win the war. but it was hit by missiles & crashed on the moon in 1961 & detected by NASA.",Kevinn,"Accion, Aventura, Ciencia Ficcion"
