Titulo,Type,SJR (Cuartil),H_Index,Link
Ca-A Cancer Journal for Clinicians,journal,Q1,211,https://www.scimagojr.com/journalsearch.php?q=28773&tip=sid&clean=0
Foundations and Trends in Machine Learning,journal,Q1,39,https://www.scimagojr.com/journalsearch.php?q=19300156903&tip=sid&clean=0
Nature Reviews Molecular Cell Biology,journal,Q1,508,https://www.scimagojr.com/journalsearch.php?q=20315&tip=sid&clean=0
Quarterly Journal of Economics,journal,Q1,306,https://www.scimagojr.com/journalsearch.php?q=29431&tip=sid&clean=0
Nature Reviews Cancer,journal,Q1,505,https://www.scimagojr.com/journalsearch.php?q=12464&tip=sid&clean=0
Cell,journal,Q1,892,https://www.scimagojr.com/journalsearch.php?q=18434&tip=sid&clean=0
Nature Reviews Drug Discovery,journal,Q1,391,https://www.scimagojr.com/journalsearch.php?q=20425&tip=sid&clean=0
American Economic Review,journal,Q1,359,https://www.scimagojr.com/journalsearch.php?q=22697&tip=sid&clean=0
Nature Reviews Materials,journal,Q1,184,https://www.scimagojr.com/journalsearch.php?q=21100812243&tip=sid&clean=0
Nature Reviews Clinical Oncology,journal,Q1,217,https://www.scimagojr.com/journalsearch.php?q=17700156734&tip=sid&clean=0
New England Journal of Medicine,journal,Q1,1184,https://www.scimagojr.com/journalsearch.php?q=15847&tip=sid&clean=0
Journal of Finance,journal,Q1,352,https://www.scimagojr.com/journalsearch.php?q=17500&tip=sid&clean=0
Nature Medicine,journal,Q1,630,https://www.scimagojr.com/journalsearch.php?q=15819&tip=sid&clean=0
Current Protocols in Bioinformatics,journal,Q1,71,https://www.scimagojr.com/journalsearch.php?q=11600154092&tip=sid&clean=0
MMWR supplements,journal,Q1,23,https://www.scimagojr.com/journalsearch.php?q=21100466539&tip=sid&clean=0
Journal of Political Economy,journal,Q1,215,https://www.scimagojr.com/journalsearch.php?q=24404&tip=sid&clean=0
Nature,journal,Q1,1391,https://www.scimagojr.com/journalsearch.php?q=21206&tip=sid&clean=0
Nature Biotechnology,journal,Q1,511,https://www.scimagojr.com/journalsearch.php?q=16115&tip=sid&clean=0
Chemical Reviews,journal,Q1,833,https://www.scimagojr.com/journalsearch.php?q=23340&tip=sid&clean=0
Econometrica,journal,Q1,223,https://www.scimagojr.com/journalsearch.php?q=19482&tip=sid&clean=0
Review of Financial Studies,journal,Q1,234,https://www.scimagojr.com/journalsearch.php?q=16161&tip=sid&clean=0
Cancer Cell,journal,Q1,398,https://www.scimagojr.com/journalsearch.php?q=29093&tip=sid&clean=0
Nature Energy,journal,Q1,229,https://www.scimagojr.com/journalsearch.php?q=21100812579&tip=sid&clean=0
Nature Genetics,journal,Q1,639,https://www.scimagojr.com/journalsearch.php?q=18990&tip=sid&clean=0
Reviews of Modern Physics,journal,Q1,388,https://www.scimagojr.com/journalsearch.php?q=29719&tip=sid&clean=0
Nature Reviews Immunology,journal,Q1,467,https://www.scimagojr.com/journalsearch.php?q=21318&tip=sid&clean=0
IEEE Communications Surveys and Tutorials,journal,Q1,264,https://www.scimagojr.com/journalsearch.php?q=17900156715&tip=sid&clean=0
World Psychiatry,journal,Q1,140,https://www.scimagojr.com/journalsearch.php?q=6200180159&tip=sid&clean=0
Annual Review of Immunology,journal,Q1,328,https://www.scimagojr.com/journalsearch.php?q=20651&tip=sid&clean=0
National Vital Statistics Reports,journal,Q1,115,https://www.scimagojr.com/journalsearch.php?q=58530&tip=sid&clean=0
Nature Methods,journal,Q1,388,https://www.scimagojr.com/journalsearch.php?q=21100778827&tip=sid&clean=0
Advances in Physics,journal,Q1,123,https://www.scimagojr.com/journalsearch.php?q=26978&tip=sid&clean=0
Nano Research Energy,journal,Q1,32,https://www.scimagojr.com/journalsearch.php?q=21101142543&tip=sid&clean=0
MMWR Recommendations and Reports,journal,Q1,160,https://www.scimagojr.com/journalsearch.php?q=19434&tip=sid&clean=0
Academy of Management Annals,journal,Q1,109,https://www.scimagojr.com/journalsearch.php?q=19900191906&tip=sid&clean=0
Nature Nanotechnology,journal,Q1,419,https://www.scimagojr.com/journalsearch.php?q=5200152704&tip=sid&clean=0
Nature Reviews Genetics,journal,Q1,421,https://www.scimagojr.com/journalsearch.php?q=18991&tip=sid&clean=0
Nature Materials,journal,Q1,558,https://www.scimagojr.com/journalsearch.php?q=17854&tip=sid&clean=0
Administrative Science Quarterly,journal,Q1,210,https://www.scimagojr.com/journalsearch.php?q=16036&tip=sid&clean=0
Annals of Oncology,journal,Q1,294,https://www.scimagojr.com/journalsearch.php?q=28711&tip=sid&clean=0
Annual Review of Astronomy and Astrophysics,book series,Q1,210,https://www.scimagojr.com/journalsearch.php?q=26651&tip=sid&clean=0
Journal of Financial Economics,journal,Q1,311,https://www.scimagojr.com/journalsearch.php?q=24379&tip=sid&clean=0
Review of Economic Studies,journal,Q1,165,https://www.scimagojr.com/journalsearch.php?q=24202&tip=sid&clean=0
Immunity,journal,Q1,455,https://www.scimagojr.com/journalsearch.php?q=20798&tip=sid&clean=0
Nature Catalysis,journal,Q1,136,https://www.scimagojr.com/journalsearch.php?q=21100862548&tip=sid&clean=0
Morbidity and Mortality Weekly Report,journal,Q1,260,https://www.scimagojr.com/journalsearch.php?q=110092&tip=sid&clean=0
Chemical Society Reviews,journal,Q1,635,https://www.scimagojr.com/journalsearch.php?q=23350&tip=sid&clean=0
American Economic Journal: Macroeconomics,journal,Q1,81,https://www.scimagojr.com/journalsearch.php?q=19900191885&tip=sid&clean=0
Nature Reviews Methods Primers,journal,Q1,46,https://www.scimagojr.com/journalsearch.php?q=21101089342&tip=sid&clean=0
eScience,journal,Q1,44,https://www.scimagojr.com/journalsearch.php?q=21101141505&tip=sid&clean=0
Proceedings of the IEEE International Conference on Computer Vision,conference and proceedings,No disponible,356,https://www.scimagojr.com/journalsearch.php?q=110561&tip=sid&clean=0
Nature Neuroscience,journal,Q1,479,https://www.scimagojr.com/journalsearch.php?q=17436&tip=sid&clean=0
Handbook of Econometrics,book series,Q1,24,https://www.scimagojr.com/journalsearch.php?q=17700155014&tip=sid&clean=0
"Lancet Oncology, The",journal,Q1,408,https://www.scimagojr.com/journalsearch.php?q=12354&tip=sid&clean=0
"Lancet, The",journal,Q1,895,https://www.scimagojr.com/journalsearch.php?q=16590&tip=sid&clean=0
Science,journal,Q1,1336,https://www.scimagojr.com/journalsearch.php?q=23571&tip=sid&clean=0
Nature Cancer,journal,Q1,61,https://www.scimagojr.com/journalsearch.php?q=21101023100&tip=sid&clean=0
Journal of Marketing,journal,Q1,284,https://www.scimagojr.com/journalsearch.php?q=22951&tip=sid&clean=0
Annual Review of Pathology: Mechanisms of Disease,journal,Q1,147,https://www.scimagojr.com/journalsearch.php?q=11300153736&tip=sid&clean=0
Joule,journal,Q1,187,https://www.scimagojr.com/journalsearch.php?q=21100834904&tip=sid&clean=0
Nature Electronics,journal,Q1,109,https://www.scimagojr.com/journalsearch.php?q=21100884663&tip=sid&clean=0
Nature Reviews Chemistry,journal,Q1,109,https://www.scimagojr.com/journalsearch.php?q=21100826569&tip=sid&clean=0
Cell Metabolism,journal,Q1,345,https://www.scimagojr.com/journalsearch.php?q=146172&tip=sid&clean=0
Nature Immunology,journal,Q1,440,https://www.scimagojr.com/journalsearch.php?q=21315&tip=sid&clean=0
Nature Photonics,journal,Q1,385,https://www.scimagojr.com/journalsearch.php?q=5700165152&tip=sid&clean=0
Journal of Economic Literature,journal,Q1,180,https://www.scimagojr.com/journalsearch.php?q=27165&tip=sid&clean=0
Energy and Environmental Science,journal,Q1,436,https://www.scimagojr.com/journalsearch.php?q=17500155114&tip=sid&clean=0
Physiological Reviews,journal,Q1,388,https://www.scimagojr.com/journalsearch.php?q=24004&tip=sid&clean=0
Journal of Clinical Oncology,journal,Q1,624,https://www.scimagojr.com/journalsearch.php?q=29949&tip=sid&clean=0
Academy of Management Review,journal,Q1,306,https://www.scimagojr.com/journalsearch.php?q=20206&tip=sid&clean=0
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,conference and proceedings,No disponible,531,https://www.scimagojr.com/journalsearch.php?q=24212&tip=sid&clean=0
MMWR Surveillance Summaries,journal,Q1,121,https://www.scimagojr.com/journalsearch.php?q=71056&tip=sid&clean=0
